Epoch: 12/60 Setp: 800, ranking_loss: 4.58, id_loss: 4.47
Epoch: 12/60 Setp: 850, ranking_loss: 4.49, id_loss: 5.70
Epoch: 12/60 Setp: 900, ranking_loss: 3.38, id_loss: 4.46
Epoch: 12/60 Setp: 950, ranking_loss: 3.79, id_loss: 5.43
Epoch: 12/60 Setp: 1000, ranking_loss: 3.59, id_loss: 3.92
Epoch: 12/60 Setp: 1050, ranking_loss: 5.52, id_loss: 4.37
Epoch: 12/60 , ranking_loss: 4.19, id_loss: 4.19
lr:0.001
lr:0.0001
Epoch: 13/60 Setp: 50, ranking_loss: 2.85, id_loss: 3.20
Epoch: 13/60 Setp: 100, ranking_loss: 4.99, id_loss: 2.68
Epoch: 13/60 Setp: 150, ranking_loss: 2.98, id_loss: 3.05
Epoch: 13/60 Setp: 200, ranking_loss: 3.22, id_loss: 2.72
Epoch: 13/60 Setp: 250, ranking_loss: 2.48, id_loss: 2.63
Epoch: 13/60 Setp: 300, ranking_loss: 3.02, id_loss: 2.74
Epoch: 13/60 Setp: 350, ranking_loss: 3.77, id_loss: 3.43
Epoch: 13/60 Setp: 400, ranking_loss: 4.51, id_loss: 3.73
Epoch: 13/60 Setp: 450, ranking_loss: 3.57, id_loss: 3.35
Epoch: 13/60 Setp: 500, ranking_loss: 4.58, id_loss: 4.61
Epoch: 13/60 Setp: 550, ranking_loss: 3.43, id_loss: 4.32
Epoch: 13/60 Setp: 600, ranking_loss: 5.05, id_loss: 3.09
Epoch: 13/60 Setp: 650, ranking_loss: 3.01, id_loss: 3.39
Epoch: 13/60 Setp: 700, ranking_loss: 4.92, id_loss: 4.06
Epoch: 13/60 Setp: 750, ranking_loss: 2.79, id_loss: 3.65
Epoch: 13/60 Setp: 800, ranking_loss: 3.32, id_loss: 3.40
Epoch: 13/60 Setp: 850, ranking_loss: 5.08, id_loss: 4.61
Epoch: 13/60 Setp: 900, ranking_loss: 5.52, id_loss: 4.73
Epoch: 13/60 Setp: 950, ranking_loss: 3.60, id_loss: 4.02
Epoch: 13/60 Setp: 1000, ranking_loss: 2.98, id_loss: 3.76
Epoch: 13/60 Setp: 1050, ranking_loss: 3.55, id_loss: 5.69
Epoch: 13/60 , ranking_loss: 3.94, id_loss: 3.73
lr:0.001
lr:0.0001
Epoch: 14/60 Setp: 50, ranking_loss: 4.57, id_loss: 3.59
Epoch: 14/60 Setp: 100, ranking_loss: 3.28, id_loss: 2.63
Epoch: 14/60 Setp: 150, ranking_loss: 2.36, id_loss: 3.01
Epoch: 14/60 Setp: 200, ranking_loss: 2.81, id_loss: 2.26
Epoch: 14/60 Setp: 250, ranking_loss: 4.46, id_loss: 2.89
Epoch: 14/60 Setp: 300, ranking_loss: 4.02, id_loss: 2.98
Epoch: 14/60 Setp: 350, ranking_loss: 4.10, id_loss: 3.22
Epoch: 14/60 Setp: 400, ranking_loss: 4.29, id_loss: 3.13
Epoch: 14/60 Setp: 450, ranking_loss: 3.75, id_loss: 3.87
Epoch: 14/60 Setp: 500, ranking_loss: 4.33, id_loss: 3.23
Epoch: 14/60 Setp: 550, ranking_loss: 3.96, id_loss: 3.80
Epoch: 14/60 Setp: 600, ranking_loss: 3.85, id_loss: 2.88
Epoch: 14/60 Setp: 650, ranking_loss: 4.20, id_loss: 3.34
Epoch: 14/60 Setp: 700, ranking_loss: 3.46, id_loss: 3.80
Epoch: 14/60 Setp: 750, ranking_loss: 3.36, id_loss: 4.36
Epoch: 14/60 Setp: 800, ranking_loss: 4.81, id_loss: 4.50
Epoch: 14/60 Setp: 850, ranking_loss: 4.65, id_loss: 2.84
Epoch: 14/60 Setp: 900, ranking_loss: 4.47, id_loss: 3.52
Epoch: 14/60 Setp: 950, ranking_loss: 3.72, id_loss: 4.59
Epoch: 14/60 Setp: 1000, ranking_loss: 5.16, id_loss: 4.08
Epoch: 14/60 Setp: 1050, ranking_loss: 5.20, id_loss: 4.61
Epoch: 14/60 , ranking_loss: 3.71, id_loss: 3.42
lr:0.001
lr:0.0001
Epoch: 15/60 Setp: 50, ranking_loss: 4.46, id_loss: 2.42
Epoch: 15/60 Setp: 100, ranking_loss: 4.21, id_loss: 3.40
Epoch: 15/60 Setp: 150, ranking_loss: 5.02, id_loss: 1.65
Epoch: 15/60 Setp: 200, ranking_loss: 3.92, id_loss: 2.60
Epoch: 15/60 Setp: 250, ranking_loss: 2.30, id_loss: 2.07
Epoch: 15/60 Setp: 300, ranking_loss: 2.67, id_loss: 2.35
Epoch: 15/60 Setp: 350, ranking_loss: 2.46, id_loss: 2.25
Epoch: 15/60 Setp: 400, ranking_loss: 2.75, id_loss: 2.92
Epoch: 15/60 Setp: 450, ranking_loss: 5.12, id_loss: 2.69
Epoch: 15/60 Setp: 500, ranking_loss: 3.53, id_loss: 3.23
Epoch: 15/60 Setp: 550, ranking_loss: 2.97, id_loss: 2.79
Epoch: 15/60 Setp: 600, ranking_loss: 3.35, id_loss: 3.62
